Commodity,Type,Kgs,Kshs,Date,OBJECTID
Flowers,ALSTROMERIA,949410.06,192174616.5,01/01/2005 12:00:00 AM,0
Flowers,ARABICUM,164136.06,30285412,01/01/2005 12:00:00 AM,1
Flowers,"CARNATIONS, STD",2599236.25,707280768,01/01/2005 12:00:00 AM,2
Flowers,"CARNATIONS, SPRAY",936688,164790960,01/01/2005 12:00:00 AM,3
Flowers,CUTTINGS,469077.5,659962176,01/01/2005 12:00:00 AM,4
Flowers,ROSES,61052460,14488217600,01/01/2005 12:00:00 AM,5
Flowers,MIXED FLOWERS,7025061,2111245312,01/01/2005 12:00:00 AM,6
Flowers,ALSTROMERIA,472627.06,62912804,01/01/2006 12:00:00 AM,7
Flowers,ARABICUM,343664.88,36756672,01/01/2006 12:00:00 AM,8
Flowers,"CARNATIONS, STD",1820114.25,659186432,01/01/2006 12:00:00 AM,9
Flowers,"CARNATIONS, SPRAY",1080353.88,436810624,01/01/2006 12:00:00 AM,10
Flowers,CUTTINGS,753546.25,1970622336,01/01/2006 12:00:00 AM,11
Flowers,ROSES,63418056,15253625856,01/01/2006 12:00:00 AM,12
Flowers,MIXED FLOWERS,8321032.5,1676656000,01/01/2006 12:00:00 AM,13
Flowers,ALSTROMERIA,805731.88,133555496,01/01/2007 12:00:00 AM,14
Flowers,ARABICUM,439177.78,45124652,01/01/2007 12:00:00 AM,15
Flowers,"CARNATIONS, STD",2162376.75,747870720,01/01/2007 12:00:00 AM,16
Flowers,"CARNATIONS, SPRAY",469591.13,210170944,01/01/2007 12:00:00 AM,17
Flowers,CUTTINGS,1253804.88,10214233088,01/01/2007 12:00:00 AM,18
Flowers,ROSES,66307788,21556017152,01/01/2007 12:00:00 AM,19
Flowers,MIXED FLOWERS,9503894,4577161728,01/01/2007 12:00:00 AM,20
Flowers,ALSTROMERIA,961378.13,202643696,01/01/2008 12:00:00 AM,21
Flowers,ARABICUM,457666.59,50756932,01/01/2008 12:00:00 AM,22
Flowers,"CARNATIONS, STD",2090101.88,982861120,01/01/2008 12:00:00 AM,23
Flowers,"CARNATIONS, SPRAY",595457.88,261257536,01/01/2008 12:00:00 AM,24
Flowers,CUTTINGS,1900742,7554153472,01/01/2008 12:00:00 AM,25
Flowers,ROSES,70286808,21189789696,01/01/2008 12:00:00 AM,26
Flowers,MIXED FLOWERS,7211214,4858528256,01/01/2008 12:00:00 AM,27
Flowers,ALSTROMERIA,729986.51,154848003.5,01/01/2009 12:00:00 AM,28
Flowers,ARABICUM,295359.14,47647263.5,01/01/2009 12:00:00 AM,29
Flowers,"CARNATIONS, STD",2021707.56,825916372,01/01/2009 12:00:00 AM,30
Flowers,"CARNATIONS, SPRAY",343391.84,118602916,01/01/2009 12:00:00 AM,31
Flowers,CUTTINGS,1297452.07,3097206744,01/01/2009 12:00:00 AM,32
Flowers,ROSES,67045828,19090557184,01/01/2009 12:00:00 AM,33
Flowers,MIXED FLOWERS,6943107.06,4264666464,01/01/2009 12:00:00 AM,34
Flowers,ALSTROMERIA,455826,110379736,01/01/2010 12:00:00 AM,35
