BuildingID,BuildingName,BuildingType,Town,Latitude,Longitude,Technology,Vendor,Installation Date,On Air Date,BTS Present,BTS Name,MAIN FAT,Switch,BTS SiteID,Location,Status,SwitchIP
NVS211480,12676_RV_NO1002_ 12676_RV_NO1002_,Single-Tenancy,Naivasha,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,naivasha,,
NVS211129,12676_RV_NO1002_FLAMINGO HORTICULTURE KENYA LTD NAIVASHA,Single-Tenancy,Naivasha,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,,,Cisco ME3400,,Sulmac,,172.17.102.4
NVS211481,12676_RV_NO1002_VEGPRO (K) LTD GORGE FARM,Single-Tenancy,Naivasha,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,naivasha,,
NKR311197,13687_RV_WL1391 SEGEON,Single-Tenancy,Nakuru,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,,,,,SEGEON,,
NBI211640,95046829 - KPC WILSON,Single-Tenancy,Nairobi,,,PTP,,01/01/1900 00:00,01/01/1900 00:00,,,,,,Wilson,,
NBI343429,Aryan Centre,Multi-Tenancy,Nairobi,-1.3311642,36.8570766,Fiber,Thrust Bore Techniques (TBT),01/01/1900 00:00,01/01/1900 00:00,,,,,,mombasa road,,
UKD241593,Diani Bay Resort,Single-Tenancy,Ukunda,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,12C,,,Diani Beach Road,,
NBI243430,"Eastleigh, Restaurant-Gen Waruinge Strt",Multi-Tenancy,Nairobi,-1.279386,36.849426,Fiber,Thrust Bore Techniques (TBT),01/01/1900 00:00,01/01/1900 00:00,,,,,,Gen Waruinge Strt,,
NBI143367,EXECUTIVE PRINTING WORKS Ltd,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,kijabe street,,
NBI240097,FOTON East Africa,Single-Tenancy,Nairobi,-1.308375,36.828629,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Mombasa Road, Near Stadium, Shimo la Tewa Rd,",Integrated,10.163.68.132
NBI142263,INTRADE AFRICA PLACE,Multi-Tenancy,Nairobi,,,Fiber,Huawei,05/07/2017 13:17,05/07/2017 13:17,,,24C,,,KAURIA CLOSEOFF MUTHANGARI ROAD LAVINGTON,Installed,
MER130027,Kisima Hilltop_Wimax,Single-Tenancy,Meru,,,Wimax,Alvarion,01/01/1900 00:00,01/01/1900 00:00,Yes,Kisima Hilltop,,,Kisima Hilltop,Kisima Hilltop,,
NBI240040,Liaison House,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,"State House Avenue, Kilimani",Installed,
MBS142310,Maghanyo House,Multi-Tenancy,Mombasa,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Nyerere Avenue,,
NBI143257,Mobile one to One,Single-Tenancy,Nairobi,-1.19186,36.48318,Fiber,Decko Construction Limited,15/10/2018 11:31,15/10/2018 11:31,,,,,,Langata Road,Installed,
MBS140999,MOTREX LIMITED,Multi-Tenancy,Mombasa,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,,,,mombasa,Installed,
THK130047,Muranga_Kangari_Wimax,Single-Tenancy,Thika,,,Wimax,Alvarion,01/01/1900 00:00,01/01/1900 00:00,Yes,Muranga Exchange,,Cisco ME3400,Muranga Exchange,Muranga Kangari,,
NBI240182,Mwanzo House,Multi-Tenancy,Nairobi,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,No,,24C,,,Dunga Close,Installed,10.163.68.250
NBI443432,New TymesArcade Rongai,Multi-Tenancy,Nairobi,-1.3972278,"36.7574747,17",Fiber,Kinde,01/01/1900 00:00,01/01/1900 00:00,,,,,,magadi road,,
KKY111049,NM1217_OBIBEE ENTERPRISES,Single-Tenancy,Kikuyu,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,Kikuyu Primary School,,Cisco ME3400,Kikuyu Primary School,Kikuyu,,172.17.119.5
NBI143423,RAHIMTULLA TRUST HOUSE,Multi-Tenancy,Nairobi,-1.2820356,36.8197984,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Moi Avenue,,
ATR140934,RELTEX TARPAULINS AFRICA EPZ,Single-Tenancy,Athi River,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,No,,,AR169F,,Namanga Road,Installed,10.163.184.158
NBI343301,TATA AFRICA HOLDINGS (KENYA) LIMITED -Tata Africa House,Single-Tenancy,Nairobi,,,Fiber,Adrian Limited,27/10/2018 12:58,27/10/2018 12:58,,,,AR169F,,"ICD Road, Off Mombasa Road",Installed,10.215.35.83
KSM143444,: PRACTICAL ACTION,Single-Tenancy,Kisumu,,,Fiber,Camusat,01/01/1900 00:00,01/01/1900 00:00,,,,,,Agakhan Walk,,
NBI110517,002 QOA_HEALTHY U-HQ,Single-Tenancy,Nairobi,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,Queen of Apostles,,Cisco ME3400,Queen of Apostles,QOA,,172.17.121.31
NYR360001,1003_RADIO AFRICA NYERI,Single-Tenancy,Nyeri,,,Cable (To BTS),,01/01/1900 00:00,01/01/1900 00:00,Yes,Nyeri Hill,,Cisco ME3400,Nyeri Hill,NYERI HILL,,172.17.89.2
NYR510112,1004_FAMILY BANK OTHAYA,Single-Tenancy,Nyeri,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,OTHAYA,,
MAK110011,1043_MAKUENI COUNTY GOVERNMENT,,Makueni,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,,,,,MAKUENI,,
MRN110034,1050_Unaitas HQ Muranga,Single-Tenancy,Muranga,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,,,,,Muranga,,
MRN120034,1054_Kangema_Ceragon,Single-Tenancy,Muranga,0.68350 S,36.96221 E,PTMP,Ceragon,01/01/1900 00:00,01/01/1900 00:00,Yes,Kangema,,Cisco ME3400,Kangema,Kangema,Integrated,172.17.88.11
NVS210346,1059_SUSWA_SUSWA HOTEL,Single-Tenancy,Naivasha,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,SUSWA,,
NYR110074,1086_Serena Mountain Lodge,Single-Tenancy,Nyeri,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,,,,,Nyeri,,
KEG120035,1095_Kerugoya_Kaitheri_Ceragon,Single-Tenancy,Kerugoya,0 30 27.6 S,37 16 48.9 E,PTMP,Ceragon,01/01/1900 00:00,01/01/1900 00:00,Yes,,,Cisco ME3400,,Kerugoya,Integrated,172.17.133.6
KEG110014,1095_Kirinyaga County Government,,Kerugoya,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,,,,,Kerugoya,,
KIY110118,1100_Family Bank Mwea,Single-Tenancy,Kirinyaga,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,,,,,Mwea,,
MWE120085,1100_WANGURU CERAGON HUB,Single-Tenancy,Mwea,00 40 48.61 S,037 21 20.99 E,PTMP,Ceragon,01/01/1900 00:00,01/01/1900 00:00,Yes,Wanguru_HUB,,Cisco ME3400,Wanguru_HUB,Wanguru,,172.17.133.4
KIY110157,1102_KENET-KIRINYAGA UNIVERSITY,Single-Tenancy,Kirinyaga,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,Kianjiru,,Cisco ME3400,Kianjiru,Kianjiru Shopping Centre,,172.17.133.6
MBS410129,1106_FARM GATE E.A,Single-Tenancy,Mombasa,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,Changamwe_Exchange_HUB,,Cisco ME3400,Changamwe_Exchange_HUB,CHANGAMWE,,172.17.110.8
MWI210165,1110_TSEIKURU WORLD VISION MWINGI,Single-Tenancy,Mwingi,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,TseikuruHill,,,TseikuruHill,Tseikuru,,
MKS110113,1150_KIM Machakos,Single-Tenancy,Machakos,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,,,,,Machakos,,
MKS111414,1150_MACHAKOS ACADEMY,Single-Tenancy,Machakos,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,Cisco ME3400,,Machakos,,172.17.112.252
